id,color_name,radius,position_x,position_y,position_z,velocity_x,velocity_y,velocity_z,mass
SUN,YELLOW,2,-8.572865039469250E+05,-7.346088835335051E+05,2.685423265526889E+04,1.239859639798033E-02,-6.348466611140617E-03,-2.037876555553517E-04,1.98892e30
EARTH,LIGHT_BLUE,0.25,-2.758794880287251E+07,1.439239583084676E+08,1.921064327326417E+04,-2.977686364628585E+01,-5.535813340802556E+00,-1.943387942073826E-04,5.9742e24
MOON,GRAY,0.05,-2.743589644230116E+07,1.435751546419631E+08,-1.145344989768416E+04,-2.884424012475249E+01,-5.089320873036412E+00,3.814177365090332E-02,7.34767309e22
MERCURY,GRAY,0.05,-5.879699189509091E+07,-2.492820404148239E+07,3.364042452841429E+06,8.711982611106873E+00,-4.284856986770977E+01,-4.299279282370732E+00,3.3e23
JUPITER,DARK_BROWN,0.05,1.571230833020991E+08,7.429840488421507E+08,-6.597049828231782E+06,-1.293244436609816E+01,3.325781476287804E+00,2.755437569190042E-01,1.898e27
HEKTOR,WHITE,1,-6.397833140104287E+08,4.247999539310665E+08,7.136157349165726E+07,-7.236765128973537E+00,-1.039386299736063E+01,-3.955885153432084E+00,7.9e18
IO,DARK_BROWN,0.05,1.567913160787357E+08,7.427243216977766E+08,-6.610965628552347E+06,-2.289626937008920E+00,-1.036623645612734E+01,-5.726257077059449E-02,8.9319e22
GANYMEDE,DARK_BROWN,0.05,1.580935027059082E+08,7.425362306939588E+08,-6.600282950611502E+06,-8.370291186955019E+00,1.321209554904819E+01,7.178620386576879E-01,1.4819e23
CALLISTO,DARK_BROWN,0.05,1.557607915780463E+08,7.442947293729103E+08,-6.574354439074993E+06,-1.862955468746259E+01,-2.522420287457085E+00,1.607200062736558E-02,1.4819e23
VENUS,ORANGE,0.05,6.697319534635594E+07,8.337171945245868E+07,-2.731933993919346E+06,-2.735548307021769E+01,2.182743070706988E+01,1.878804135388283E+00,4.8685e24
MARS,RED,0.25,-7.890038131682467E+07,2.274372361241295E+08,6.722196400986686E+06,-2.199759485544059E+01,-5.787405095467102E+00,4.184257990348734E-01,6.39e23
URANUS,LIGHT_BLUE,0.05,1.660222886897103E+09,2.406966367551249E+09,-1.256907181827700E+07,-5.655911180719731E+00,3.549247278075849E+00,8.652020191096454E-02,8.6811e24
NEPTUNE,BLUE,0.05,4.469116222588663E+09,-9.560778256566879E+07,-1.010264767638457E+08,8.064561683471368E-02,5.465730017544922E+00,-1.151205185674022E-01,1.02409e26
SATURN,BROWN,0.05,1.414498231862034E+09,-2.647172137275474E+08,-5.171551879510410E+07,1.240660798615463E+00,9.473546595187154E+00,-2.135791731559418E-01,5.683e26
APOPHIS,WHITE,0.25,-1.388590916653571E+07,-1.234509623050680E+08,6.268048407716118E+06,3.439172035549679E+01,1.959859020846836E+00,7.080954494745844E-01,2.699e10
PHAETHON,WHITE,0.25,8.585091792232600E+07,2.223008152743238E+08,2.765340291757229E+07,-1.447962788665931E+01,-1.281750466432390E+01,-5.476238152002450E+00,1.4e14
HALLEY,WHITE,0.25,-2.743463616483468E+07,5.418791471225091E+08,-1.217565221037149E+06,-1.441794752002886E+01,-1.482371781457716E-01,8.705224613619507E-01,2.2e14
PALLAS,WHITE,0.25,8.853809364617355E+07,-4.056591726129397E+08,2.728616038316103E+08,1.459429397879125E+01,1.321865397329125E-01,-1.354242197397608E+00,2.108e20
CRUITHNE,WHITE,0.25,-4.111637811442459E+07,-8.138893722436616E+07,2.887304667707837E+07,2.754848884955035E+01,-3.401272336953449E+01,-7.721202003270804E-01,1.3e14
ADONIS,WHITE,0.25,-2.654228146090347E+08,-3.328148809833249E+08,-8.614353902873442E+06,1.231267573721459E+01,5.659796970775487E-01,6.479334856113178E-02,1.3e11
